Tweet_Text,Reply_Count,Retweet_Count,Like_Count,View_Count,Language,Source,Username,Location,year,month,day,hour,minute,weekday,Post_ID,ID_Source,month_name,clean_Text,bert_sentiment,bert_neg,bert_neu,bert_pos,emotion_type,location_cleaned,topic_id,topic_probability,topic_words,topic_prob
"Medical Doctor,  British Council Fellow & YALI  Ghana RLC Fellow",0.0,0.0,1.0,81.0,English,Twitter,AjansonPeter,Lagos,2013,1,16,20,19,Wednesday,SYN_e89f7b1980141946,Synthetic_ID,January,Medical Doctor British Council Fellow YALI Ghana RLC Fellow,positive,0,0,1,none,"Ikeja, Lagos",3,0.18291332899639737,,0.17082463521760424
"@aproko_doctor It will be hijacked by the looters, don't even for a second think it will not.

It's a good thing that you're always creating awareness about these things.",0.0,0.0,1.0,0.0,English,Twitter,SirDavidBent,Lagos,2021,3,1,16,15,Monday,SYN_f1cb8d74d705d6e1,Synthetic_ID,March,It will be hijacked by the looters dont even for a second think it will not Its a good thing that youre always creating awareness about these things,negative,1,0,0,distrust,"Ikeja, Lagos",2,0.03853124103026242,"free, hospitals, its, with, the",0.0325072547952919
@aproko_doctor The guys will move 2/3 of the vaccines to private hospitals and then sell them to those who didn't make FGN list. Distribute 1/3 in govt facilities on man no man basis or back door settlement. Either way the Vaccines will involve cash exchange. Only a poster few will be free.,0.0,1.0,30.0,0.0,English,Twitter,Jibiya03,Lagos,2021,3,1,15,58,Monday,SYN_381371ddeb9976f4,Synthetic_ID,March,The guys will move of the vaccines to private hospitals and then sell them to those who didnt make FGN list Distribute in govt facilities on man no man basis or back door settlement Either way the Vaccines will involve cash exchange Only a poster few will be free,negative,1,0,0,none,"Ikeja, Lagos",2,0.13032451865670114,"free, hospitals, its, with, the",0.18927354691549614
@aproko_doctor Anything wey free for Naija must get gate fee,0.0,0.0,0.0,0.0,English,Twitter,GDBofAfrica,Lagos,2021,3,1,18,6,Monday,SYN_386f9178254e103a,Synthetic_ID,March,Anything wey free for Naija must get gate fee,positive,0,0,1,none,"Ikeja, Lagos",4,0.04645242706196359,"una, dhan, mga, na, mk",0.059324924283123984
"@aproko_doctor Free something in Nigeria..😂😂😂😂

*okokobioko*",0.0,0.0,0.0,0.0,Finnish,Twitter,kaskomalima,Lagos,2021,3,2,5,34,Tuesday,SYN_48da155061d62756,Synthetic_ID,March,Free something in Nigeria okokobioko,positive,0,0,1,none,"Ikeja, Lagos",8,0.702630007518117,"nigeria, answers, offer, win, falls",0.8662961928747535
"@aproko_doctor @TheSummerUKnow People are still battling with Covid-19 vaccine complications, una come with HPV again. Isoriat! Make una go take am.",0.0,0.0,0.0,97.0,English,Twitter,obeto_utomi,Lagos,2024,5,28,17,50,Tuesday,SYN_d9a2ccef306b383e,Synthetic_ID,May,People are still battling with Covid vaccine complications una come with HPV again Isoriat Make una go take am,negative,1,0,0,fear,"Ikeja, Lagos",0,0.1920955177652563,"the, vaccine, of, in, to",0.23495262558300972
@aproko_doctor Teen girls. Run ooo. Aproko has been paid to promote this. Vaccine from people that want to reduce population. Be wise. Why Teen girls? You want to destroy their wombs. Run ooo,0.0,0.0,0.0,146.0,English,Twitter,eikwoche,Lagos,2024,5,28,23,32,Tuesday,SYN_26cfd809f6446b91,Synthetic_ID,May,Teen girls Run ooo Aproko has been paid to promote this Vaccine from people that want to reduce population Be wise Why Teen girls You want to destroy their wombs Run ooo,positive,0,0,1,none,"Ikeja, Lagos",0,0.2202125081876179,"the, vaccine, of, in, to",0.25716528506981234
@aproko_doctor What about ladies that are 15 - 23??,0.0,0.0,0.0,46.0,English,Twitter,blackboyoflagos,Lagos,2024,5,29,15,21,Wednesday,SYN_a8fa0e098e043802,Synthetic_ID,May,What about ladies that are,positive,0,0,1,none,"Ikeja, Lagos",1,0.13942491289510003,,0.15790860596352832
"@aproko_doctor It's mind-boggling that hospitals won't touch you with a long pole if you come in sick without money; however, the same hospitals are giving out free vaccines to children. For those saying “it's free” nothing is free. U are paying with your children's health.",0.0,1.0,2.0,122.0,English,Twitter,collinz022,Lagos,2024,11,28,11,12,Thursday,SYN_5291d191851f616c,Synthetic_ID,November,Its mindboggling that hospitals wont touch you with a long pole if you come in sick without money however the same hospitals are giving out free vaccines to children For those saying its free nothing is free U are paying with your childrens health,negative,1,0,0,none,"Ikeja, Lagos",2,1.0,"free, hospitals, its, with, the",1.0
@aproko_doctor Can anyone name a single vaccine that works ?,0.0,0.0,1.0,7.0,English,Twitter,Sarkinijebu,FCT,2024,11,28,11,50,Thursday,SYN_223b124b3e428f75,Synthetic_ID,November,Can anyone name a single vaccine that works,negative,1,0,0,none,"Abuja, FCT",0,0.9411724572467058,"the, vaccine, of, in, to",1.0
"@aproko_doctor It's mind-boggling that hospitals won't touch you with a long pole if you come in sick without money; however, the same hospitals are giving out free vaccines to children. For those saying “it's free” nothing is free. U are paying with your children's health.",0.0,1.0,2.0,122.0,English,Twitter,collinz022,Lagos,2024,11,28,11,12,Thursday,SYN_9252de9a26ed9371,Synthetic_ID,November,Its mindboggling that hospitals wont touch you with a long pole if you come in sick without money however the same hospitals are giving out free vaccines to children For those saying its free nothing is free U are paying with your childrens health,negative,1,0,0,none,"Ikeja, Lagos",2,1.0,"free, hospitals, its, with, the",1.0
@aproko_doctor Can anyone name a single vaccine that works ?,0.0,0.0,1.0,7.0,English,Twitter,Sarkinijebu,FCT,2024,11,28,11,50,Thursday,SYN_5423877dbd1ce084,Synthetic_ID,November,Can anyone name a single vaccine that works,negative,1,0,0,none,"Abuja, FCT",0,1.0,"the, vaccine, of, in, to",1.0
@aproko_doctor I guess this is more reason why Artemether Suspension has now been discontinue for paediatrics.,0.0,0.0,1.0,256.0,English,Twitter,ayotope_nuel,Lagos,2024,11,28,9,17,Thursday,SYN_d40d6616db4e3452,Synthetic_ID,November,I guess this is more reason why Artemether Suspension has now been discontinue for paediatrics,negative,1,0,0,none,"Ikeja, Lagos",0,0.1809975487947901,,0.16251085023600365
"@aproko_doctor It's mind-boggling that hospitals won't touch you with a long pole if you come in sick without money; however, the same hospitals are giving out free vaccines to children. For those saying “it's free” nothing is free. U are paying with your children's health.",0.0,1.0,2.0,122.0,English,Twitter,collinz022,Lagos,2024,11,28,11,12,Thursday,SYN_7a01450a6192b897,Synthetic_ID,November,Its mindboggling that hospitals wont touch you with a long pole if you come in sick without money however the same hospitals are giving out free vaccines to children For those saying its free nothing is free U are paying with your childrens health,negative,1,0,0,none,"Ikeja, Lagos",2,0.8573374829828094,"free, hospitals, its, with, the",1.0
@aproko_doctor Can anyone name a single vaccine that works ?,0.0,0.0,1.0,7.0,English,Twitter,Sarkinijebu,FCT,2024,11,28,11,50,Thursday,SYN_06029e967b1ff138,Synthetic_ID,November,Can anyone name a single vaccine that works,negative,1,0,0,none,"Abuja, FCT",0,1.0,"the, vaccine, of, in, to",1.0
"@aproko_doctor Btw 2005 &amp; 2006, the govt advised people to take the hepatitis jabs. I know I had my immunisation as a child, yet I took the complete jabs at the health centre in my community during Christmas. FUTO included it as part of medicals for new intakes then, &amp; I had the jabs again. Hmm",0.0,0.0,3.0,505.0,English,Twitter,OjiakoRemy,Lagos,2025,11,6,14,26,Thursday,SYN_3d6601fa6d779513,Synthetic_ID,November,Btw amp the govt advised people to take the hepatitis jabs I know I had my immunisation as a child yet I took the complete jabs at the health centre in my community during Christmas FUTO included it as part of medicals for new intakes then amp I had the jabs again Hmm,positive,0,0,1,fear,"Ikeja, Lagos",0,0.22367836029410668,"the, vaccine, of, in, to",0.288056064145358
"@DOlusegun Those who believe Nigeria has nothing to offer and which it falls, well you're getting your answers.

Nigeria shall be great 
Nigeria will win",5.0,0.0,18.0,3080.0,English,Twitter,bar_tunde,Lagos,2024,4,13,9,44,Saturday,SYN_e91eb2b14207bb65,Synthetic_ID,April,Those who believe Nigeria has nothing to offer and which it falls well youre getting your answers Nigeria shall be great Nigeria will win,positive,0,0,1,distrust,"Ikeja, Lagos",8,1.0,"nigeria, answers, offer, win, falls",1.0
@DOlusegun This will not trend,2.0,0.0,0.0,427.0,English,Twitter,bukme_arb,Lagos,2024,4,13,10,8,Saturday,SYN_552682f96682ea39,Synthetic_ID,April,This will not trend,neutral,0,1,0,none,"Ikeja, Lagos",11,1.0,"trend, will, not, this, cohesion",1.0
"@DOlusegun Those who believe Nigeria has nothing to offer and which it falls, well you're getting your answers.

Nigeria shall be great 
Nigeria will win",5.0,0.0,18.0,3080.0,English,Twitter,bar_tunde,Lagos,2024,4,13,9,44,Saturday,SYN_8c438904ca06e560,Synthetic_ID,April,Those who believe Nigeria has nothing to offer and which it falls well youre getting your answers Nigeria shall be great Nigeria will win,positive,0,0,1,distrust,"Ikeja, Lagos",8,1.0,"nigeria, answers, offer, win, falls",0.7533170364431052
@DOlusegun This will not trend,2.0,0.0,0.0,427.0,English,Twitter,bukme_arb,Lagos,2024,4,13,10,8,Saturday,SYN_7deecf13baec2c03,Synthetic_ID,April,This will not trend,neutral,0,1,0,none,"Ikeja, Lagos",11,1.0,"trend, will, not, this, cohesion",1.0
"@DOlusegun Those who believe Nigeria has nothing to offer and which it falls, well you're getting your answers.

Nigeria shall be great 
Nigeria will win",5.0,0.0,18.0,3080.0,English,Twitter,bar_tunde,Lagos,2024,4,13,9,44,Saturday,SYN_bac4e69db5871def,Synthetic_ID,April,Those who believe Nigeria has nothing to offer and which it falls well youre getting your answers Nigeria shall be great Nigeria will win,positive,0,0,1,distrust,"Ikeja, Lagos",8,1.0,"nigeria, answers, offer, win, falls",1.0
@DOlusegun This will not trend,2.0,0.0,0.0,427.0,English,Twitter,bukme_arb,Lagos,2024,4,13,10,8,Saturday,SYN_07eb0ff9fbb57794,Synthetic_ID,April,This will not trend,neutral,0,1,0,none,"Ikeja, Lagos",11,1.0,"trend, will, not, this, cohesion",1.0
"@DOlusegun Those who believe Nigeria has nothing to offer and which it falls, well you're getting your answers.

Nigeria shall be great 
Nigeria will win",5.0,0.0,18.0,3080.0,English,Twitter,bar_tunde,Lagos,2024,4,13,9,44,Saturday,SYN_70edf2cf5734db25,Synthetic_ID,April,Those who believe Nigeria has nothing to offer and which it falls well youre getting your answers Nigeria shall be great Nigeria will win,positive,0,0,1,distrust,"Ikeja, Lagos",8,1.0,"nigeria, answers, offer, win, falls",1.0
@DOlusegun This will not trend,2.0,0.0,0.0,427.0,English,Twitter,bukme_arb,Lagos,2024,4,13,10,8,Saturday,SYN_4f571ff27c6c0fab,Synthetic_ID,April,This will not trend,neutral,0,1,0,none,"Ikeja, Lagos",11,1.0,"trend, will, not, this, cohesion",1.0
"@DOlusegun Those who believe Nigeria has nothing to offer and which it falls, well you're getting your answers.

Nigeria shall be great 
Nigeria will win",5.0,0.0,18.0,3080.0,English,Twitter,bar_tunde,Lagos,2024,4,13,9,44,Saturday,SYN_e7270d0b3c18d074,Synthetic_ID,April,Those who believe Nigeria has nothing to offer and which it falls well youre getting your answers Nigeria shall be great Nigeria will win,positive,0,0,1,distrust,"Ikeja, Lagos",8,1.0,"nigeria, answers, offer, win, falls",0.714881011289815
@DOlusegun This will not trend,2.0,0.0,0.0,427.0,English,Twitter,bukme_arb,Lagos,2024,4,13,10,8,Saturday,SYN_aef4e7a245ff3929,Synthetic_ID,April,This will not trend,neutral,0,1,0,none,"Ikeja, Lagos",11,1.0,"trend, will, not, this, cohesion",1.0
"@dudeitsokay Sanghis on even day: we consider dogs as our companion we're nothing like muslims 
Sanghis on odd day: 👆🏻 https://t.co/VRrqyFSYHj",4.0,2.0,37.0,18525.0,English,Twitter,AdharmiNastik,Lagos,2025,10,21,7,29,Tuesday,SYN_945d878574dc2a91,Synthetic_ID,October,Sanghis on even day we consider dogs as our companion were nothing like muslims Sanghis on odd day,negative,1,0,0,none,"Ikeja, Lagos",-1,0.07670764387866494,,0.10440669126253409
@enodamade Welldone…,0.0,0.0,1.0,46.0,English,Twitter,mz_iyanu,Lagos,2024,12,8,19,0,Sunday,SYN_d1de3dae9f112a2b,Synthetic_ID,December,Welldone,positive,0,0,1,none,"Ikeja, Lagos",7,0.20557636773012894,"so, congratulations, good, thank, baby",0.40400253680754994
@enodamade Welldone…,0.0,0.0,1.0,46.0,English,Twitter,mz_iyanu,Lagos,2024,12,8,19,0,Sunday,SYN_aa6337060d9168d0,Synthetic_ID,December,Welldone,positive,0,0,1,none,"Ikeja, Lagos",7,0.1890350973535161,"so, congratulations, good, thank, baby",0.45249717894985364
"@f_philippot On s’entend, cette vaccination deviendra annuelle. On ne sait même pas encore, depuit 4 ans, ce qui se trouve dans ce vaccin qui n’en est même pas un. 
Plus on résiste, plus des gens joindront les rangs. 
Pour ma part, impossible de vivre dans ce monde.",0.0,0.0,0.0,10.0,French,Twitter,idwarrior197038,Niger,2025,10,30,22,38,Thursday,SYN_83de4cd31a39fa49,Synthetic_ID,October,On sentend cette vaccination deviendra annuelle On ne sait mme pas encore depuit ans ce qui se trouve dans ce vaccin qui nen est mme pas un Plus on rsiste plus des gens joindront les rangs Pour ma part impossible de vivre dans ce monde,negative,1,0,0,none,"Minna, Niger",0,1.0,"the, vaccine, of, in, to",1.0
"@HerbalistChief Unfortunately, our wives who will take our children to the hospital for postnatal are not aware of this sinister move.😌😌😌",1.0,0.0,1.0,265.0,English,Twitter,RichKal5,Lagos,2024,11,30,13,4,Saturday,SYN_5205bc8124b55a5b,Synthetic_ID,November,Unfortunately our wives who will take our children to the hospital for postnatal are not aware of this sinister move,negative,1,0,0,none,"Ikeja, Lagos",3,1.0,"her, at, yrs, money, months",0.6595516450314496
"@IanCopeland5 Why do you feel the need to make up ienemies?

Statistically no one is against the malaria vaccine.",0.0,0.0,0.0,13.0,English,Twitter,Factual_Scoo,Lagos,2024,12,4,21,18,Wednesday,SYN_ef6f4bc35fbc4c5e,Synthetic_ID,December,Why do you feel the need to make up ienemies Statistically no one is against the malaria vaccine,negative,1,0,0,none,"Ikeja, Lagos",12,1.0,"malaria, we, are, no, vaccines",1.0
@instablog9ja When??,0.0,0.0,1.0,294.0,English,Twitter,KDanliman,Kano,2024,10,18,8,31,Friday,SYN_5ee0f663bea2b141,Synthetic_ID,October,When,positive,0,0,1,none,"Kano, Kano",5,0.23437788117231348,"when, yaaas, age, months, which",0.12548137496704587
"@instablog9ja I'll pass, would rather wait for testimonies before I can be convinced",0.0,0.0,0.0,34.0,English,Twitter,GooErubs,Abia,2024,10,18,10,0,Friday,SYN_bbcb4d6280ace3eb,Synthetic_ID,October,Ill pass would rather wait for testimonies before I can be convinced,positive,0,0,1,none,"Umuahia, Abia",-1,0.014182613830039112,"free, hospitals, its, with, the",0.010406086788021376
@joeroganhq Nice 👌,0.0,0.0,0.0,9.0,English,Twitter,GUYTHATWASRIGHT,Niger,2025,11,10,15,27,Monday,SYN_20952cb388bcaab2,Synthetic_ID,November,Nice,positive,0,0,1,none,"Minna, Niger",7,1.0,"so, congratulations, good, thank, baby",1.0
@Johanne31785773 Dr. Ana Mihalcea uses a 4000x microscope to examine the blood of the vaccinated. It is not a conspiracy theory graphene oxide nano technology is found in the blood.🩸,0.0,0.0,0.0,10.0,English,Twitter,happydogs2011,Lagos,2025,1,12,2,43,Sunday,SYN_cca12dae0a2a60d9,Synthetic_ID,January,Dr Ana Mihalcea uses a x microscope to examine the blood of the vaccinated It is not a conspiracy theory graphene oxide nano technology is found in the blood,neutral,0,1,0,distrust,"Ikeja, Lagos",0,0.45600137813279434,"the, vaccine, of, in, to",0.3936592265098668
"@liz_churchill10 ""To better understand the scientific credibility of the preprint, Science Feedback reached out to Victoria Male, a senior lecturer in reproductive immunology at Imperial College London.

In an email, Male explained that while unvaccinated women may have been more likely to have a",0.0,0.0,0.0,655.0,English,Twitter,Natalie48097163,Lagos,2025,11,8,21,7,Saturday,SYN_fdd41e215dee60b4,Synthetic_ID,November,To better understand the scientific credibility of the preprint Science Feedback reached out to Victoria Male a senior lecturer in reproductive immunology at Imperial College London In an email Male explained that while unvaccinated women may have been more likely to have a,negative,1,0,0,none,"Ikeja, Lagos",0,0.4156148503066643,"the, vaccine, of, in, to",0.40791570640726454
@liz_churchill10 Please.....,0.0,0.0,0.0,12.0,English,Twitter,waldron_pj,Lagos,2025,11,9,18,37,Sunday,SYN_5f6160832eec578b,Synthetic_ID,November,Please,positive,0,0,1,none,"Ikeja, Lagos",5,1.0,"when, yaaas, age, months, which",0.7125850792933298
"@MAGAVoice Instead of just removing the mercury, all vaccines should be pulled, especially the mRNA ones, until they are fully verified to be safe and effective against the disease for which they were developed.",14.0,22.0,174.0,3069.0,English,Twitter,DeeDeeCelestine,Lagos,2025,11,3,22,19,Monday,SYN_94d405e147f8060c,Synthetic_ID,November,Instead of just removing the mercury all vaccines should be pulled especially the mRNA ones until they are fully verified to be safe and effective against the disease for which they were developed,positive,0,0,1,none,"Ikeja, Lagos",0,0.3771807294564237,"the, vaccine, of, in, to",0.584110058344607
@MAGAVoice Still ain’t taking any jabs!,1.0,0.0,14.0,1326.0,English,Twitter,SheilaYMartin1,Lagos,2025,11,3,22,56,Monday,SYN_a7e04fd8f5d5407d,Synthetic_ID,November,Still aint taking any jabs,negative,1,0,0,fear,"Ikeja, Lagos",0,0.18683127344869535,"the, vaccine, of, in, to",0.20060656885192898
"@NigeriaGov @NGRPresident 🇳🇬📌 Do U kno stc30 stemcell cures, shrinks &amp;removes fibroids in just 30days &amp; it also cures Diseases like diabetes, infertility,prostate,cancer,stroke,tumor, immunes &amp;it cures all chronic diseases.? Click link to chat me on whatsapp 4more info: https://t.co/PTSB5Tvewn ..",0.0,0.0,0.0,0.0,English,Twitter,EmmanuelAroge,Lagos,2021,4,2,11,4,Friday,SYN_53ebcf450fc3169d,Synthetic_ID,April,Do U kno stc stemcell cures shrinks ampremoves fibroids in just days amp it also cures Diseases like diabetes infertilityprostatecancerstroketumor immunes ampit cures all chronic diseases Click link to chat me on whatsapp more info,negative,1,0,0,none,"Ikeja, Lagos",-1,0.09463461236424645,,0.1317773850536128
@NigeriaGov @FMICNigeria Please what's the way forward on Nigeria and UAE flight ban. https://t.co/ULJii23d0h,1.0,2.0,3.0,0.0,English,Twitter,real_hadassah20,Niger,2021,4,1,16,22,Thursday,SYN_99a9e8f4f404300f,Synthetic_ID,April,Please whats the way forward on Nigeria and UAE flight ban,positive,0,0,1,none,"Minna, Niger",8,1.0,"nigeria, answers, offer, win, falls",1.0
"@NigeriaGov @NGRPresident 🇳🇬📌 Do U kno stc30 stemcell cures, shrinks &amp;removes fibroids in just 30days &amp; it also cures Diseases like diabetes, infertility,prostate,cancer,stroke,tumor, immunes &amp;it cures all chronic diseases.? Click link to chat me on whatsapp 4more info: https://t.co/PTSB5Tvewn ..",0.0,0.0,0.0,0.0,English,Twitter,EmmanuelAroge,Lagos,2021,4,2,11,4,Friday,SYN_bfdde5b6b23f445f,Synthetic_ID,April,Do U kno stc stemcell cures shrinks ampremoves fibroids in just days amp it also cures Diseases like diabetes infertilityprostatecancerstroketumor immunes ampit cures all chronic diseases Click link to chat me on whatsapp more info,negative,1,0,0,none,"Ikeja, Lagos",-1,0.10037730707577405,,0.14070060594171654
@NigeriaGov @NGRPresident https://t.co/GSaNdZUes3,0.0,0.0,0.0,0.0,Kinyarwanda,Twitter,McCarth56964518,Kaduna,2021,4,2,12,38,Friday,SYN_00f7f0ac0f742f27,Synthetic_ID,April,,positive,0,0,1,none,"Kaduna, Kaduna",5,0.739135554112285,"when, yaaas, age, months, which",1.0
"@NigeriaGov @NGRPresident 🇳🇬📌 Do U kno stc30 stemcell cures, shrinks &amp;removes fibroids in just 30days &amp; it also cures Diseases like diabetes, infertility,prostate,cancer,stroke,tumor, immunes &amp;it cures all chronic diseases.? Click link to chat me on whatsapp 4more info: https://t.co/PTSB5Tvewn ..",0.0,0.0,0.0,0.0,English,Twitter,EmmanuelAroge,Lagos,2021,4,2,11,4,Friday,SYN_03ae2d5e4cfea4bd,Synthetic_ID,April,Do U kno stc stemcell cures shrinks ampremoves fibroids in just days amp it also cures Diseases like diabetes infertilityprostatecancerstroketumor immunes ampit cures all chronic diseases Click link to chat me on whatsapp more info,negative,1,0,0,none,"Ikeja, Lagos",-1,0.09276064511605259,,0.12509583089003345
"@NigeriaGov @NGRPresident 🇳🇬📌 Do U kno stc30 stemcell cures, shrinks &amp;removes fibroids in just 30days &amp; it also cures Diseases like diabetes, infertility,prostate,cancer,stroke,tumor, immunes &amp;it cures all chronic diseases.? Click link to chat me on whatsapp 4more info: https://t.co/PTSB5Tvewn ..",0.0,0.0,0.0,0.0,English,Twitter,EmmanuelAroge,Lagos,2021,4,2,11,4,Friday,SYN_654d4c36ac33052a,Synthetic_ID,April,Do U kno stc stemcell cures shrinks ampremoves fibroids in just days amp it also cures Diseases like diabetes infertilityprostatecancerstroketumor immunes ampit cures all chronic diseases Click link to chat me on whatsapp more info,negative,1,0,0,none,"Ikeja, Lagos",-1,0.10217268999286669,,0.11856378363623998
@NigeriaStories Very ugly distasteful woman,0.0,0.0,0.0,53.0,English,Twitter,eriknaija,Lagos,2025,8,11,17,52,Monday,SYN_838b3da5f453f1de,Synthetic_ID,August,Very ugly distasteful woman,negative,1,0,0,none,"Ikeja, Lagos",1,0.15732124220545995,"so, congratulations, good, thank, baby",0.20503569530931784
"@NigeriaStories For accepting GMO, you get honoured 😔",0.0,0.0,0.0,81.0,English,Twitter,salakokarzim,Lagos,2025,8,11,18,35,Monday,SYN_597f83a5ee33e509,Synthetic_ID,August,For accepting GMO you get honoured,positive,0,0,1,none,"Ikeja, Lagos",-1,0.15159763401873344,"to, his, gmo, the, of",0.20981659916854536
